NAME                           VERSION           TYPE                        
Simple Launcher                1.1.0.14          binary      (+5 duplicates)  
acl-libs                       2.3.2-r1          apk                          
alembic                        1.14.0            python                       
alpine-baselayout              3.7.0-r0          apk                          
alpine-baselayout-data         3.7.0-r0          apk                          
alpine-keys                    2.5-r0            apk                          
alpine-release                 3.22.1-r0         apk                          
alsa-lib                       1.2.14-r0         apk                          
aniso8601                      10.0.0            python                       
anstream                       0.6.8             rust-crate                   
anstyle                        1.0.4             rust-crate                   
anstyle-parse                  0.2.3             rust-crate                   
anstyle-query                  1.0.2             rust-crate                   
anyhow                         1.0.79            rust-crate                   
anyhow                         1.0.98            rust-crate                   
aom-libs                       3.12.1-r0         apk                          
apk-tools                      2.14.9-r3         apk                          
appdirs                        1.4.4             python                       
apprise                        1.9.2             python                       
apscheduler                    3.10.4            python                       
arg_enum_proc_macro            0.3.4             rust-crate                   
arrayvec                       0.7.4             rust-crate                   
attrs                          24.3.0            python                       
auditok                        0.1.5             python                       
autocommand                    2.2.2             python                       
av-metrics                     0.9.1             rust-crate                   
av1-grain                      0.2.3             rust-crate                   
babelfish                      0.6.1             python                       
backports-functools-lru-cache  2.0.0             python                       
backports-tarfile              1.2.0             python                       
backports-zoneinfo             0.2.1             python                       
bash                           5.2.37-r0         apk                          
beautifulsoup4                 4.12.3            python                       
bidict                         0.23.1            python                       
bitflags                       2.4.1             rust-crate                   
bitstream-io                   2.2.0             rust-crate                   
bitstream-io                   2.6.0             rust-crate                   
bitvec                         1.0.1             rust-crate                   
bitvec_helpers                 3.1.6             rust-crate                   
blinker                        1.8.2             python                       
brotli-libs                    1.1.0-r2          apk                          
busybox                        1.37.0-r19        apk                          
busybox-binsh                  1.37.0-r19        apk                          
c-ares                         1.34.5-r0         apk                          
ca-certificates                20250619-r0       apk                          
ca-certificates-bundle         20250619-r0       apk                          
catatonit                      0.2.1-r0          apk                          
certifi                        2024.12.14        python                       
cfg-if                         1.0.0             rust-crate                   
chardet                        5.2.0             python                       
charset-normalizer             3.4.1             python                       
cjson                          1.7.18-r1         apk                          
clap                           4.4.14            rust-crate                   
clap_builder                   4.4.14            rust-crate                   
clap_complete                  4.4.6             rust-crate                   
clap_derive                    4.4.7             rust-crate                   
clap_lex                       0.6.0             rust-crate                   
cli                            UNKNOWN           binary                       
cli-32                         UNKNOWN           binary                       
cli-64                         UNKNOWN           binary                       
cli-arm64                      UNKNOWN           binary                       
click                          8.1.8             python                       
cloudscraper                   1.2.58            python                       
colorama                       0.4.6             python                       
colorchoice                    1.0.0             rust-crate                   
commonmark                     0.9.1             python                       
console                        0.15.8            rust-crate                   
coreutils                      9.7-r1            apk                          
